09:20:10: Key.cmd
09:20:12: s
09:20:12: a
09:20:12: l
09:20:12: a
09:20:12: Key.space
09:20:12: d
09:20:12: e
09:20:13: Key.space
09:20:13: e
09:20:13: s
09:20:13: t
09:20:13: u
09:20:14: d
09:20:14: i
09:20:14: o
09:20:14: Key.space
09:20:15: a
09:20:15: i
09:20:15: n
09:20:15: a
09:20:15: v
09:20:16: i
09:20:16: l
09:20:16: l
09:20:16: o
09:20:17: Key.esc
