20:22:13: Key.cmd
20:22:14: f
20:22:14: f
20:22:14: g
20:22:14: f
20:22:14: g
20:22:14: f
20:22:14: g
20:22:14: f
20:22:15: f
20:22:15: g
20:22:15: f
20:22:15: g
20:22:15: f
20:22:15: g
20:22:15: f
20:22:15: g
20:22:16: f
20:22:16: g
20:22:16: f
20:22:22: o
20:22:22: u
20:22:23: y
20:22:23: Key.backspace
20:22:24: l
20:22:24: o
20:22:24: k
20:22:24: k
20:22:24: Key.enter
20:22:41: Key.space
20:22:41: h
20:22:41: o
20:22:42: l
20:22:42: a
20:22:42: a
20:22:42: a
20:22:43: a
20:22:43: a
