01:28:19: Key.cmd
01:28:23: Key.ctrl_l
01:28:24: \x01
01:28:24: \x03
01:28:24: Key.alt_l
01:28:25: Key.tab
01:28:26: e
01:28:27: s
01:28:27: t
01:28:27: e
01:28:27: Key.space
01:28:27: e
01:28:27: Key.space
01:28:27: s
01:28:28: m
01:28:28: i
01:28:28: Key.space
01:28:28: c
01:28:28: o
01:28:28: d
01:28:28: g
01:28:28: i
01:28:29: o
01:28:29: Key.space
01:28:29: "
01:28:29: "
01:28:30: Key.left
01:28:30: n
01:28:30: o
01:28:30: Key.space
01:28:30: h
01:28:30: a
01:28:31: g
01:28:31: a
01:28:31: s
01:28:31: Key.space
01:28:31: n
01:28:31: a
01:28:31: d
01:28:31: a
01:28:31: Key.space
01:28:33: Key.right
01:28:33: Key.space
01:28:34: Key.up
01:28:37: Key.enter
01:28:40: Key.enter
01:28:40: "
01:28:40: "
01:28:41: Key.left
01:28:42: Key.ctrl_l
01:28:42: \x16
01:28:43: Key.enter
01:28:45: l
01:28:45: o
01:28:46: Key.space
01:28:46: q
01:28:46: u
01:28:46: e
01:28:46: Key.space
01:28:46: m
01:28:46: e
01:28:46: Key.space
01:28:47: g
01:28:47: u
01:28:47: s
01:28:47: t
01:28:47: a
01:28:47: r
01:28:47: i
01:28:47: a
01:28:47: Key.space
01:28:49: a
01:28:49: Key.backspace
01:28:49: h
01:28:49: a
01:28:50: c
01:28:50: e
01:28:50: r
01:28:50: Key.space
01:28:50: s
01:28:50: e
01:28:51: r
01:28:51: i
01:28:51: Key.space
01:28:51: Key.backspace
01:28:52: a
01:28:52: Key.space
01:28:52: s
01:28:52: o
01:28:52: l
01:28:52: c
01:28:53: Key.backspace
01:28:53: c
01:28:53: i
01:28:53: o
01:28:53: n
01:28:53: a
01:28:54: r
01:28:54: Key.space
01:28:54: e
01:28:54: s
01:28:54: t
01:28:54: e
01:28:54: Key.space
01:28:55: r
01:28:55: r
01:28:55: o
01:28:55: r
01:28:55: Key.space
01:28:55: Key.alt_l
01:28:55: Key.tab
01:29:00: Key.ctrl_l
01:29:00: \x03
01:29:00: Key.alt_l
01:29:01: Key.tab
01:29:03: Key.left
01:29:03: Key.left
01:29:03: Key.left
01:29:03: Key.left
01:29:03: Key.left
01:29:03: e
01:29:04: Key.right
01:29:04: Key.right
01:29:04: Key.right
01:29:04: Key.space
01:29:04: Key.right
01:29:05: Key.space
01:29:05: "
01:29:06: "
01:29:06: Key.left
01:29:07: Key.ctrl_l
01:29:08: \x16
01:29:08: Key.right
01:29:09: Key.enter
01:29:09: Key.enter
01:29:10: p
01:29:10: o
01:29:10: d
01:29:10: r
01:29:10: i
01:29:10: a
01:29:10: s
01:29:10: Key.space
01:29:11: m
01:29:11: o
01:29:11: d
01:29:11: i
01:29:11: f
01:29:11: i
01:29:11: c
01:29:11: a
01:29:12: r
01:29:12: Key.space
01:29:12: e
01:29:12: l
01:29:12: Key.space
01:29:12: c
01:29:12: o
01:29:12: d
01:29:12: i
01:29:12: g
01:29:13: o
01:29:13: Key.space
01:29:13: p
01:29:13: a
01:29:13: r
01:29:13: Key.space
01:29:13: q
01:29:13: u
01:29:13: e
01:29:13: Key.space
01:29:14: n
01:29:14: o
01:29:14: Key.space
01:29:14: s
01:29:14: a
01:29:14: l
01:29:14: g
01:29:14: a
01:29:15: Key.space
01:29:15: e
01:29:15: s
01:29:15: e
01:29:15: Key.space
01:29:16: a
01:29:16: Key.backspace
01:29:18: Key.backspace
01:29:18: Key.backspace
01:29:19: Key.backspace
01:29:19: Key.backspace
01:29:20: Key.backspace
01:29:20: Key.backspace
01:29:20: a
01:29:21: Key.space
01:29:21: e
01:29:21: s
01:29:21: o
01:29:21: ?
01:29:22: Key.enter
01:29:33: h
01:29:33: a
01:29:33: z
01:29:34: Key.space
01:29:34: e
01:29:34: l
01:29:34: Key.space
01:29:34: o
01:29:35: Key.backspace
01:29:36: c
01:29:36: o
01:29:37: Key.backspace
01:29:38: o
01:29:38: d
01:29:38: i
01:29:38: g
01:29:38: o
01:29:39: Key.space
01:29:39: c
01:29:40: o
01:29:40: m
01:29:40: o
01:29:40: Key.space
01:29:40: t
01:29:40: u
01:29:41: Key.space
01:29:41: e
01:29:41: s
01:29:42: t
01:29:42: i
01:29:42: m
01:29:42: a
01:29:42: s
01:29:42: Key.space
01:29:42: m
01:29:42: a
01:29:42: s
01:29:43: Key.space
01:29:43: c
01:29:43: o
01:29:43: n
01:29:43: v
01:29:43: e
01:29:44: n
01:29:44: i
01:29:44: n
01:29:44: e
01:29:44: t
01:29:44: e
01:29:44: Key.enter
