08:22:07: Key.space
08:22:09: Key.cmd
08:22:09: 1
08:22:10: 1
08:22:10: 8
08:22:11: Key.esc
08:22:19: Key.cmd
08:22:19: p
10:03:12: Key.page_up
10:07:19: Key.page_down
10:07:20: Key.page_down
10:07:21: Key.page_down
10:08:34: Key.f5
10:08:37: Key.f5
10:08:38: Key.f5
10:08:39: Key.f5
10:08:41: Key.f5
10:08:43: Key.f5
10:08:45: Key.f5
10:08:53: Key.f5
10:10:05: Key.f5
