12:26:04: Key.cmd
12:26:05: 1
12:26:05: 2
12:26:05: 0
13:49:30: o
13:49:30: u
13:49:30: t
13:49:31: Key.right
13:49:31: .
13:49:32: c
13:49:32: o
13:49:32: m
13:49:32: Key.enter
13:50:17: d
13:50:19: a
13:50:19: n
13:50:19: i
13:50:20: t
13:50:20: z
13:50:20: a
13:50:20: .
13:50:20: s
13:50:20: a
13:50:20: l
13:50:20: a
13:50:21: z
13:50:21: a
13:50:21: r
13:50:22: Key.ctrl_l
13:50:22: Key.alt_gr
13:50:22: @
13:50:23: u
13:50:23: c
13:50:23: .
13:50:23: c
13:50:23: l
13:50:23: Key.enter
13:50:26: y
13:50:26: o
13:50:26: u
13:50:27: Key.backspace
13:50:27: Key.backspace
13:50:27: Key.backspace
13:50:29: c
13:50:29: a
13:50:29: n
13:50:29: v
13:50:30: a
13:50:30: s
13:50:30: Key.space
13:50:33: Key.caps_lock
13:50:34: k
13:50:34: Key.caps_lock
13:50:34: e
13:50:34: k
13:50:35: a
13:50:35: s
13:50:35: a
13:50:35: k
13:50:35: a
13:50:35: 8
13:50:35: 9
13:50:36: /
13:50:36: Key.enter
