11:05:14: Key.cmd
11:05:15: f
11:05:15: a
11:05:15: s
11:05:16: Key.backspace
11:05:16: Key.backspace
11:05:16: Key.backspace
11:05:16: Key.backspace
11:05:16: Key.backspace
11:05:17: h
11:05:17: o
11:05:17: l
11:05:17: a
11:05:17: Key.space
11:05:17: c
11:05:17: o
11:05:17: m
11:05:17: o
11:05:17: Key.space
11:05:17: e
11:05:18: s
11:05:18: t
11:05:18: a
11:05:18: s
11:05:18: Key.space
