17:52:18: Key.cmd
17:52:19: s
17:52:20: a
17:52:20: l
17:52:20: a
17:52:20: Key.space
17:52:20: d
17:52:20: Key.space
17:52:21: Key.backspace
17:52:22: e
17:52:22: Key.space
17:52:22: e
17:52:22: s
17:52:22: t
17:52:23: u
17:52:23: d
17:52:23: i
17:52:23: o
17:52:23: Key.space
17:52:24: Key.esc
