14:11:01: Key.cmd
14:11:02: 1
14:11:02: 2
14:11:03: 3
14:11:04: Key.esc
15:16:15: c
15:16:16: a
15:16:16: n
15:16:16: v
15:16:16: a
15:16:17: s
15:16:17: Key.enter
15:16:26: j
15:16:26: r
15:16:26: o
15:16:27: m
15:16:27: e
15:16:27: r
15:16:27: o
15:16:27: d
15:16:29: 2
15:16:29: 2
15:16:30: 1
15:16:30: 0
15:16:30: 0
15:16:30: 2
15:16:30: j
15:16:31: r
15:16:31: D
15:16:32: .
15:16:33: Key.enter
18:34:07: <98>
