13:36:24: Key.cmd
13:36:25: 1
13:36:27: 0
13:36:28: 6
13:36:29: Key.esc
13:51:47: c
13:51:47: a
13:51:48: n
13:51:49: v
13:51:49: a
13:51:49: s
13:52:34: j
13:52:35: .
13:52:35: s
13:52:35: a
13:52:35: n
13:52:36: h
13:52:36: u
13:52:36: e
13:52:36: z
13:52:37: a
13:52:37: Key.tab
13:52:39: C
13:52:39: o
13:52:39: n
13:52:39: c
13:52:40: e
13:52:40: 2
13:52:40: 0
13:52:40: 2
13:52:41: 3
13:58:56: Key.right
13:59:19: Key.right
14:03:04: Key.right
14:11:44: Key.right
14:11:50: Key.right
14:11:54: Key.right
14:14:23: Key.right
14:14:32: Key.right
14:14:32: Key.right
14:14:33: Key.right
14:14:34: Key.right
14:15:34: Key.right
14:15:35: Key.esc
14:17:27: Key.right
14:18:19: Key.right
14:20:25: Key.right
14:23:49: Key.right
14:23:53: Key.right
14:24:46: Key.right
14:25:13: Key.right
14:28:14: Key.right
14:31:23: Key.right
14:31:54: Key.right
14:33:12: Key.right
14:33:23: Key.right
14:35:29: Key.right
14:37:29: Key.right
14:38:50: Key.right
14:40:25: Key.right
14:40:31: Key.right
14:44:33: Key.esc
14:44:52: Key.space
14:44:53: D
14:44:53: i
14:44:53: s
14:44:53: c
14:44:53: a
14:44:54: p
14:44:54: a
14:44:54: c
14:44:54: i
14:44:54: d
14:44:54: a
14:44:55: d
14:44:55: Key.space
14:44:56: T
14:44:56: E
14:44:56: A
14:45:40: Key.space
14:45:40: P
14:45:40: e
14:45:40: r
14:45:40: s
14:45:41: o
14:45:41: n
14:45:41: a
14:45:41: s
14:45:41: Key.space
14:45:41: d
14:45:42: i
14:45:42: s
14:45:42: c
14:45:42: a
14:45:42: p
14:45:43: a
14:45:43: c
14:45:43: i
14:45:43: t
14:45:43: a
14:45:44: d
14:45:44: a
14:45:44: s
14:45:44: Key.space
14:45:56: Key.space
14:45:56: E
14:45:56: d
14:45:56: u
14:45:57: c
14:45:57: a
14:45:57: c
14:45:57: i
14:45:58: [´]
14:45:58: o
14:45:58: n
14:46:18: Key.space
14:46:18: T
14:46:19: A
14:46:19: E
14:46:20: Key.backspace
14:46:20: Key.backspace
14:46:21: E
14:46:22: A
14:46:22: Key.space
14:46:23: E
14:46:23: d
14:46:23: u
14:46:24: c
14:46:24: a
14:46:24: c
14:46:24: i
14:46:24: [´]
14:46:25: o
14:46:25: n
14:46:25: Key.space
14:46:37: Key.space
14:46:37: P
14:46:37: e
14:46:38: r
14:46:38: s
14:46:38: o
14:46:38: n
14:46:38: a
14:46:38: s
14:46:38: Key.space
14:46:39: m
14:46:39: a
14:46:39: y
14:46:40: o
14:46:40: r
14:46:40: e
14:46:40: s
14:48:22: Key.esc
14:49:53: Key.esc
14:49:58: l
14:49:58: i
14:49:58: b
14:49:59: r
14:49:59: o
14:49:59: Key.space
14:50:01: t
14:50:01: e
14:50:02: m
14:50:02: a
14:50:02: s
14:50:02: Key.space
14:50:02: l
14:50:03: e
14:50:03: g
14:50:03: a
14:50:03: l
14:50:03: e
14:50:03: s
14:50:03: Key.space
14:50:04: p
14:50:04: a
14:50:04: r
14:50:04: a
14:50:05: Key.space
14:50:05: l
14:50:05: a
14:50:05: Key.space
14:50:05: d
14:50:06: Key.backspace
14:50:06: a
14:50:06: d
14:50:06: u
14:50:07: l
14:50:07: t
14:50:07: e
14:50:07: z
14:50:08: Key.enter
15:02:52: j
15:02:52: e
15:02:52: r
15:02:52: e
15:02:53: Key.space
15:02:54: Key.enter
15:03:42: b
15:03:42: e
15:03:42: m
15:03:42: n
15:03:43: Key.backspace
15:03:43: Key.backspace
15:03:44: n
15:03:44: j
15:03:44: a
15:03:44: m
15:03:44: i
15:03:44: n
15:03:45: Key.space
15:03:45: a
15:03:45: s
15:03:45: c
15:03:45: e
15:03:45: n
15:03:47: c
15:03:47: i
15:03:47: o
15:03:48: Key.enter
