17:14:32: Key.cmd
17:14:33: m
17:14:34: i
17:14:35: Key.enter
17:14:42: c
17:14:43: a
17:14:44: n
17:14:44: v
17:14:44: a
17:14:44: s
17:14:45: Key.space
17:14:46: u
17:14:46: d
17:14:46: d
17:14:47: Key.enter
17:14:58: 1
17:14:58: 2
17:14:58: 3
17:14:58: 4
17:14:58: 5
17:14:58: 6
17:15:00: g
17:15:01: o
17:15:01: l
17:15:01: w
17:15:01: a
17:15:01: d
17:15:01: w
17:15:02: s
17:15:02: g
17:15:02: c
17:23:17: b
17:23:17: b
