19:12:01: Key.cmd
19:12:05: m
19:12:05: i
19:12:06: Key.enter
19:12:12: o
19:12:13: u
19:12:13: t
19:12:13: l
19:12:13: o
19:12:13: o
19:12:13: k
19:12:14: Key.enter
19:12:23: d
19:12:23: a
19:12:23: n
19:12:24: t
19:12:24: e
19:12:24: None
19:12:25: None
19:12:25: None
19:12:25: None
19:12:26: s
19:12:26: a
19:12:26: l
19:12:26: a
19:12:26: z
19:12:27: a
19:12:27: r
19:12:27: None
19:12:28: Key.ctrl_l
19:12:28: Key.alt_gr
19:12:28: @
19:12:29: p
19:12:29: u
19:12:29: t
19:12:29: l
19:12:30: o
19:12:30: k
19:12:30: o
19:12:31: Key.backspace
19:12:31: Key.backspace
19:12:31: Key.backspace
19:12:32: Key.backspace
19:12:32: Key.backspace
19:12:32: Key.backspace
19:12:32: Key.backspace
19:12:33: o
19:12:33: u
19:12:33: y
19:12:33: l
19:12:34: o
19:12:35: Key.backspace
19:12:35: Key.backspace
19:12:36: Key.backspace
19:12:37: t
19:12:37: l
19:12:37: o
19:12:37: k
19:12:37: k
19:12:38: Key.backspace
19:12:38: Key.backspace
19:12:39: o
19:12:39: .
19:12:39: c
19:12:39: o
19:12:39: m
19:12:41: Key.left
19:12:41: Key.left
19:12:41: Key.left
19:12:41: Key.left
19:12:42: k
19:12:42: Key.enter
19:12:43: Key.ctrl_l
19:12:43: Key.alt_gr
19:12:44: @
19:12:44: S
19:12:44: a
19:12:45: l
19:12:45: a
19:12:45: z
19:12:45: a
19:12:45: r
19:12:46: None
19:12:46: None
19:12:46: None
19:12:46: None
19:12:47: None
