17:39:36: Key.cmd
17:39:37: 1
17:39:37: 1
17:39:37: 1
17:39:47: Key.alt_l
17:39:48: Key.tab
17:58:48: Key.ctrl_l
18:23:50: Key.enter
18:53:33: b
18:53:33: b
18:53:34: r
18:53:34: o
18:53:34: u
18:53:34: s
18:53:34: s
18:53:35: a
18:53:35: i
18:53:35: n
18:53:35: f
18:53:37: A
18:53:37: s
18:53:38: t
18:53:38: r
18:53:38: a
18:53:39: <98>
18:53:39: <96>
18:53:40: <98>
18:53:41: <99>
