20:52:46: Key.media_volume_mute
21:10:30: -
21:10:30: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:31: Key.enter
21:10:32: Key.enter
12:31:25: w
12:31:25: e
12:31:25: b
12:31:26: o
12:31:26: f
12:31:26: k
12:31:26: n
12:31:26: o
12:31:27: w
12:31:27: l
12:31:27: e
12:31:27: d
12:31:27: g
12:31:28: e
12:31:28: Key.enter
12:31:46: y
12:31:46: o
12:31:46: u
12:31:46: t
12:31:46: h
12:31:46: Key.space
12:31:47: f
12:31:47: i
12:31:47: n
12:31:47: a
12:31:47: n
12:31:47: c
12:31:48: i
12:31:48: a
12:31:48: l
12:31:48: Key.space
12:31:49: b
12:31:49: e
12:31:49: h
12:31:49: a
12:31:49: v
12:31:50: i
12:31:50: o
12:31:50: r
12:31:50: Key.enter
12:31:58: b
12:31:58: a
12:31:58: n
12:31:58: k
12:31:58: Key.enter
12:45:52: b
12:45:52: a
12:45:52: n
12:45:52: k
12:45:53: Key.space
12:45:53: p
12:45:53: r
12:45:53: o
12:45:53: m
12:45:53: o
12:45:54: t
12:45:54: i
12:45:54: o
12:45:54: n
12:45:54: Key.space
12:45:55: y
12:45:55: o
12:45:55: u
12:45:55: t
12:45:55: h
12:45:55: n
12:45:56: Key.space
12:45:56: Key.backspace
12:45:56: Key.backspace
12:45:57: Key.space
12:45:58: Key.enter
12:46:00: Key.space
12:46:00: r
12:46:00: e
12:46:01: v
12:46:01: i
12:46:01: e
12:46:01: w
12:46:02: Key.enter
12:46:02: Key.enter
12:46:05: Key.space
12:46:05: j
12:46:06: o
12:46:06: u
12:46:06: r
12:46:06: n
12:46:06: a
12:46:06: l
12:46:07: Key.enter
12:46:27: Key.esc
12:47:23: Key.ctrl_l
12:47:23: \x03
12:47:24: Key.ctrl_l
12:47:24: \x16
12:47:25: Key.enter
13:08:12: d
13:08:12: o
13:08:12: i
13:08:12: Key.space
13:08:13: t
13:08:13: o
13:08:13: Key.space
13:08:13: c
13:08:13: i
13:08:13: t
13:08:13: a
13:08:14: t
13:08:14: i
13:08:14: o
13:08:14: n
13:08:14: Key.enter
13:08:35: l
13:08:35: o
13:08:35: c
13:08:35: a
13:08:35: l
13:08:35: Key.space
13:08:37: o
13:08:37: p
13:08:37: t
13:08:37: i
13:08:37: m
13:08:38: a
13:08:38: Key.space
13:08:38: n
13:08:38: e
13:08:38: t
13:08:38: w
13:08:38: o
13:08:38: r
13:08:39: k
13:08:39: Key.space
13:08:39: Key.enter
13:08:44: Key.space
13:08:44: m
13:08:45: u
13:08:45: l
13:08:45: t
13:08:45: i
13:09:39: Key.caps_lock
13:09:39: r
13:09:39: Key.caps_lock
13:09:39: a
13:09:39: a
13:09:40: Key.backspace
13:09:40: Key.backspace
13:09:40: Key.backspace
13:09:40: r
13:09:40: Key.caps_lock
13:09:41: a
13:09:41: a
13:09:41: s
13:09:42: h
13:09:44: Key.left
13:09:44: Key.left
13:09:45: Key.right
13:09:45: c
13:09:46: Key.right
13:09:46: Key.space
13:09:47: e
13:09:47: t
13:09:47: Key.space
13:09:47: a
13:09:47: l
13:09:47: .
